A5P_ones_250GA_G_FC_100RUB_pp156
5;;423.76
10;;573.11
15;;687.36
20;;812.98
25;;865.37
30;;982.07
40;;1162.41
50;;1326.69
60;;1549.37
70;;1737.73
80;;1914.08
90;;2088.11
100;;2248.12
110;;2436.66
120;;2634.04
130;;2793.32
140;;2995.28
150;;3190.78
160;;3418.09
170;;3509.03
180;;3703.84
190;;3781.36
200;;3963.71
225;;4328.58
250;;4774.53
275;;5093.87
300;;5525.56

A5P_ones_250GA_G_FC_100RUB_pp158
5;;425.74
10;;576.29
15;;691.06
20;;818.41
25;;870.92
30;;988.69
40;;1169.79
50;;1335.21
60;;1560.29
70;;1749.98
80;;1927.15
90;;2102.40
100;;2264.01
110;;2453.64
120;;2652.00
130;;2817.08
140;;3016.21
150;;3213.10
160;;3441.39
170;;3533.03
180;;3729.60
190;;3807.70
200;;3990.97
225;;4358.43
250;;4807.39
275;;5131.38
300;;5564.00

A5P_ones_250GA_G_FC_100RUB_pp160
5;;427.73
10;;578.90
15;;694.20
20;;822.71
25;;875.43
30;;993.75
40;;1177.19
50;;1343.25
60;;1570.29
70;;1760.86
80;;1940.22
90;;2116.24
100;;2279.02
110;;2469.34
120;;2669.96
130;;2835.78
140;;3036.30
150;;3234.16
160;;3464.69
170;;3559.21
180;;3754.56
190;;3832.87
200;;4018.24
225;;4387.52
250;;4839.87
275;;5165.41
300;;5605.82

A5P_ones_250GA_G_FC_100RUB_pp162
5;;431.72
10;;583.74
15;;699.77
20;;829.13
25;;882.65
30;;1001.75
40;;1186.30
50;;1354.80
60;;1583.66
70;;1775.92
80;;1956.43
90;;2134.88
100;;2298.68
110;;2490.39
120;;2692.37
130;;2860.46
140;;3062.32
150;;3261.95
160;;3493.82
170;;3594.58
180;;3786.70
190;;3865.76
200;;4052.40
225;;4425.28
250;;4881.84
275;;5209.47
300;;5653.97

A5P_ones_250GA_G_FC_100RUB_pp164
5;;433.70
10;;586.33
15;;703.48
20;;833.44
25;;888.20
30;;1007.85
40;;1193.70
50;;1362.84
60;;1593.66
70;;1787.71
80;;1969.50
90;;2148.73
100;;2316.44
110;;2506.94
120;;2710.33
130;;2879.16
140;;3082.42
150;;3283.86
160;;3517.12
170;;3618.17
180;;3811.66
190;;3891.71
200;;4082.18
225;;4455.13
250;;4914.31
275;;5244.61
300;;5694.02

A5P_ones_250GA_G_FC_100RUB_pp166
5;;435.69
10;;589.51
