A5P_ones_250GA_G_FC_100LUP_pp162
5;;474.38
10;;667.40
15;;821.63
20;;991.05
25;;1068.92
30;;1224.92
40;;1475.62
50;;1693.40
60;;1982.07
70;;2231.92
80;;2472.33
90;;2698.95
100;;2912.69
110;;3152.13
120;;3418.67
130;;3631.91
140;;3892.81
150;;4151.71
160;;4447.24
170;;4575.09
180;;4824.60
190;;4929.98
200;;5176.75
225;;5648.45
250;;6245.22
275;;6658.77
300;;7235.09

A5P_ones_250GA_G_FC_100LUP_pp164
5;;476.72
10;;670.68
15;;826.66
20;;997.02
25;;1076.92
30;;1233.76
40;;1486.50
50;;1705.34
60;;1996.70
70;;2249.33
80;;2491.70
90;;2719.50
100;;2937.77
110;;3176.84
120;;3445.53
130;;3659.89
140;;3922.90
150;;4184.59
160;;4482.25
170;;4610.55
180;;4862.13
190;;4969.06
200;;5220.35
225;;5693.51
250;;6294.23
275;;6716.05
300;;7294.44

A5P_ones_250GA_G_FC_100LUP_pp166
5;;479.04
10;;674.87
15;;833.48
20;;1004.76
25;;1083.26
30;;1243.44
40;;1497.37
50;;1718.02
60;;2012.80
70;;2267.47
80;;2511.07
90;;2740.74
100;;2961.47
110;;3202.23
120;;3472.40
130;;3688.51
140;;3954.31
150;;4218.13
160;;4517.25
170;;4646.64
180;;4900.94
190;;5008.76
200;;5261.44
225;;5737.36
250;;6343.86
275;;6769.19
300;;7352.60

A5P_ones_250GA_G_FC_100LUP_pp168
5;;481.37
10;;678.15
15;;837.62
20;;1010.72
25;;1091.25
30;;1250.63
40;;1508.25
50;;1729.96
60;;2027.43
70;;2283.44
80;;2530.44
90;;2761.28
100;;2983.82
110;;3225.61
120;;3499.28
130;;3719.13
140;;3984.41
150;;4249.67
160;;4552.25
170;;4682.11
180;;4938.46
190;;5046.60
200;;5302.53
225;;5782.41
250;;6392.88
275;;6821.74
300;;7409.58

A5P_ones_250GA_G_FC_100LUP_pp170
5;;484.60
10;;684.18
15;;842.64
20;;1018.48
25;;1100.08
30;;1260.31
40;;1519.13
50;;1744.15
60;;2043.53
70;;2301.58
80;;2549.81
90;;2783.91
100;;3007.52
110;;3250.98
120;;3526.14
130;;3749.07
140;;4015.81
150;;4283.21
160;;4589.91
170;;4719.48
180;;4977.27
190;;5090.70
200;;5343.62
225;;5830.51
250;;6443.72
275;;6874.88
300;;7467.73

A5P_ones_250GA_G_FC_100LUP_pp172
5;;486.94
10;;687.45
15;;849.46
20;;1024.44
25;;1106.41
30;;1269.17
40;;1530.02
50;;1756.08
60;;2058.16
70;;2319.00
80;;2569.18
90;;2804.46
100;;3029.86
110;;3275.70
120;;3553.01
130;;3777.05
140;;4045.91
150;;4320.74
160;;4624.92
170;;4754.95
180;;5014.79
190;;5132.29
200;;5384.71
225;;5878.62
250;;6492.74
275;;6928.02
300;;7528.85

A5P_ones_250GA_G_FC_100LUP_pp174
5;;489.26
10;;691.65
15;;854.49
20;;1032.18
25;;1114.41
30;;1278.84
40;;1540.90
50;;1768.78
60;;2074.27
70;;2337.14
80;;2588.55
90;;2825.70
100;;3053.57
110;;3301.08
120;;3579.88
130;;3805.67
140;;4077.32
150;;4354.28
160;;4659.92
170;;4791.04
180;;5053.60
190;;5172.00
200;;5425.80
225;;5923.68
250;;6542.37
275;;6981.16
300;;7587.01

A5P_ones_250GA_G_FC_100LUP_pp176
5;;491.59
10;;694.92
15;;858.63
20;;1038.15
25;;1120.76
30;;1286.04
40;;1551.78
50;;1780.71
60;;2088.90
70;;2353.10
80;;2607.92
90;;2846.25
100;;3075.91
110;;3329.17
120;;3606.74
130;;3833.64
140;;4107.41
150;;4385.84
160;;4694.92
170;;4826.50
180;;5091.12
190;;5209.83
200;;5466.89
225;;5967.52
250;;6593.82
275;;7032.54
300;;7644.00

A5P_ones_250GA_G_FC_100LUP_pp178
5;;496.66
10;;700.95
15;;865.45
20;;1045.90
25;;1129.57
30;;1295.71
40;;1562.66
50;;1794.90
60;;2105.01
70;;2371.24
80;;2627.29
90;;2868.88
100;;3099.61
110;;3354.55
120;;3633.62
130;;3863.58
140;;4138.83
150;;4419.38
160;;4729.93
170;;4863.88
180;;5134.45
190;;5249.54
200;;5507.99
225;;6013.18
250;;6644.66
275;;7085.68
300;;7702.16

A5P_ones_250GA_G_FC_100LUP_pp180
5;;498.99
10;;704.23
15;;870.48
20;;1051.86
25;;1137.56
30;;1304.57
40;;1573.54
50;;1806.84
60;;2119.64
70;;2388.65
80;;2646.66
90;;2889.42
100;;3121.94
110;;3379.27
120;;3660.49
130;;3891.55
140;;4168.92
150;;4452.26
160;;4764.94
170;;4899.34
180;;5171.98
190;;5288.62
200;;5549.08
225;;6058.24
250;;6697.94
275;;7141.18
300;;7759.14

